time_ms,exit_code,path_size,path,buffer_size,buffer,num_states,num_controls
,,,,,0.551388,,
,,,,,0.059765,,
,,,,,0.04905,,
,,,,,0.4444,,
,,,,,-0.2945,,
,,,,,33,,
,,,,,16,,
,,,,,-1,,
,,,,,3,,
,,,,,6.80499,,
,,,,,0.0911,,
,,,,,0.448131,,
,,,,,0.0647393,,
,,,,,0.44175,,
,,,,,0.2444,,
,,,,,0.4909,,
,,,,,38,,
,,,,,30,,
,,,,,45,,
,,,,,4,,
,,,,,6.75304,,
,,,,,0.12666,,
,,,,,0.629579,,
,,,,,0.0192016,,
,,,,,-0.04915,,
,,,,,0.3333,,
,,,,,0.1963,,
,,,,,35,,
,,,,,30,,
,,,,,-1,,
,,,,,4,,
,,,,,6.78824,,
,,,,,0.11333,,
,,,,,0.561275,,
,,,,,0.0148065,,
,,,,,-0.34365,,
,,,,,0.2,,
,,,,,-0.3927,,
,,,,,36,,
,,,,,30,,
,,,,,-1,,
,,,,,4,,
,,,,,6.78894,,
,,,,,0.10666,,
,,,,,0.530354,,
,,,,,0.0325923,,
,,,,,0.04905,,
,,,,,0.1333,,
,,,,,0.3927,,
,,,,,37,,
,,,,,30,,
,,,,,-1,,
,,,,,4,,
,,,,,6.75313,,
,,,,,0.14633,,
,,,,,0.718821,,
,,,,,-0.0320264,,
,,,,,-0.4418,,
,,,,,0.53,,
,,,,,-0.589,,
,,,,,38,,
,,,,,30,,
,,,,,-1,,
,,,,,4,,
,,,,,6.75304,,
,,,,,0.12666,,
,,,,,0.629579,,
,,,,,0.0192016,,
,,,,,-0.04915,,
,,,,,0.3333,,
,,,,,0.1963,,
,,,,,39,,
,,,,,30,,
,,,,,-1,,
,,,,,4,,
,,,,,6.80602,,
,,,,,0.1,,
,,,,,0.496723,,
,,,,,0.0309812,,
,,,,,-0.24545,,
,,,,,0.0667,,
,,,,,-0.1963,,
,,,,,40,,
,,,,,30,,
,,,,,-1,,
,,,,,4,,
,,,,,6.7141,,
,,,,,0.14,,
,,,,,0.696404,,
,,,,,0.0303055,,
,,,,,0.1472,,
,,,,,0.4667,,
,,,,,0.589,,
,,,,,41,,
,,,,,30,,
,,,,,-1,,
,,,,,4,,
,,,,,6.78614,,
,,,,,0.12,,
,,,,,0.591341,,
,,,,,-0.000117894,,
,,,,,-0.4909,,
,,,,,0.2667,,
,,,,,-0.6872,,
,,,,,42,,
,,,,,30,,
,,,,,-1,,
,,,,,4,,
,,,,,6.80852,,
,,,,,0.09777,,
,,,,,0.485981,,
,,,,,0.0343384,,
,,,,,-0.0982,,
,,,,,0.0444,,
,,,,,0.0982,,
,,,,,43,,
,,,,,30,,
,,,,,-1,,
,,,,,4,,
,,,,,6.75097,,
,,,,,0.13777,,
,,,,,0.681269,,
,,,,,-0.00828969,,
,,,,,-0.29455,,
,,,,,0.4444,,
,,,,,-0.2945,,
,,,,,44,,
,,,,,30,,
,,,,,-1,,
,,,,,4,,
,,,,,6.7642,,
,,,,,0.11777,,
,,,,,0.585723,,
,,,,,0.0311789,,
,,,,,0.09815,,
,,,,,0.2444,,
,,,,,0.4909,,
,,,,,55,,
,,,,,38,,
,,,,,56,,
,,,,,5,,
,,,,,6.69327,,
,,,,,0.1511,,
,,,,,0.751338,,
,,,,,0.0251762,,
,,,,,0.1963,,
,,,,,0.2444,,
,,,,,0.4909,,
,,,,,46,,
,,,,,38,,
,,,,,-1,,
,,,,,5,,
,,,,,6.7178,,
,,,,,0.14666,,
,,,,,0.728612,,
,,,,,0.00648688,,
,,,,,-0.2455,,
,,,,,0.2,,
,,,,,-0.3927,,
,,,,,47,,
,,,,,38,,
,,,,,-1,,
,,,,,5,,
,,,,,6.72121,,
,,,,,0.13999,,
,,,,,0.696097,,
,,,,,0.0211571,,
,,,,,0.1472,,
,,,,,0.1333,,
,,,,,0.3927,,
,,,,,48,,
,,,,,38,,
,,,,,-1,,
,,,,,5,,
,,,,,6.67116,,
,,,,,0.17966,,
,,,,,0.889989,,
,,,,,-0.0246823,,
,,,,,-0.34365,,
,,,,,0.53,,
,,,,,-0.589,,
,,,,,49,,
,,,,,38,,
,,,,,-1,,
,,,,,5,,
,,,,,6.67897,,
,,,,,0.15999,,
,,,,,0.796156,,
,,,,,0.0175541,,
,,,,,0.049,,
,,,,,0.3333,,
,,,,,0.1963,,
,,,,,50,,
,,,,,38,,
,,,,,-1,,
,,,,,5,,
,,,,,6.74008,,
